"name","brewery_type","address","address2","phone","website","pull_date"
"2 Tread Brewing Co","Type: Brewpub","1018 Santa Rosa Plz ","Santa Rosa, CA 95401-6399 | Map","Phone: (707) 327-2822","www.2treadbrewing.com",2018-10-30
"2 Way Brewing Company","Type: Brewpub","18 W Main St ","Beacon, NY 12508-2512 | Map","Phone: (845) 202-7334","www.2waybrewingcompany.com",2018-10-30
"2 Witches Winery and Brewing Company","Type: Micro","209 Trade St ","Danville, VA 24541-3545 | Map","Phone: (434) 549-2739","www.2witcheswinebrew.com",2018-10-30
"20 Corners Brewing LLC","Type: Brewpub","14148 NE 190th St Ste A ","Woodinville, WA 98072-8437 | Map","Phone: (425) 375-5223","www.20cornersbrewing.com",2018-10-30
"210 Brewing Co","Type: Brewpub","3438 Stoluckquamish Ln ","Arlington, WA 98223-9056 | Map","Phone: (360) 474-9740","www.angelofthewind.com",2018-10-30
"212 Brewing Company","Type: Contract","21476 Route 23 ","Davenport, NY 13750 | Map","Phone: (212) 377-9050",NA,2018-10-30
"217 Brew Works","Type: Micro","217 South St S ","Wilson, NC 27893-4911 | Map","Phone: (252) 991-6959",NA,2018-10-30
"21st Amendment Brewery","Type: Regional","2010 Williams St Unit A ","San Leandro, CA 94577-2334 | Map","Phone: (510) 595-2111","www.21st-Amendment.com",2018-10-30
"21st Amendment Brewery Cafe","Type: Brewpub","563 2nd St ","San Francisco, CA 94107-1411 | Map","Phone: (415) 369-0900","www.21st-amendment.com",2018-10-30
"22 Northmen Brewing Company","Type: Planning"," ","Alexandria, MN 56308-9857","Phone: (320) 846-5443","www.22northmen.com",2018-10-30
"23 Brewing Company / Lizzie B's Cafe","Type: Brewpub","2010 KY Route 321 ","Prestonsburg, KY 41653-9103 | Map","Phone: (606) 886-2844","www.23brewingcompany.com",2018-10-30
"238 Brewing Company","Type: Micro","10321 E Day Mt Spokane Rd ","Mead, WA 99021 | Map","Phone: (509) 238-2739","www.238brewing.com",2018-10-30
"23rd Street Brewery","Type: Brewpub","3512 Clinton Pkwy ","Lawrence, KS 66047-2145 | Map","Phone: (785) 856-2337","www.brew23.com",2018-10-30
"25 O'Clock Brewing Company","Type: Micro","208 W Griggs St ","Urbana, IL 61801 | Map",NA,"www.25oclock.net",2018-10-30
"26 Degree Brewing Company","Type: Micro","2600 E Atlantic Blvd ","Pompano Beach, FL 33062-4940 | Map","Phone: (954) 532-6964",NA,2018-10-30
"28th State Brewing","Type: Planning"," ","Houston, TX 77095-6933",NA,NA,2018-10-30
"2C Family Brewing Co.","Type: Planning"," ","Nampa, ID 83651-3957","Phone: (208) 995-4802",NA,2018-10-30
"2Kids Brewing Company","Type: Micro","8680 Miralani Dr Ste 123 ","San Diego, CA 92126-6391 | Map","Phone: (858) 480-5437","www.2kidsBrewing.com",2018-10-30
"2nd Act Beer","Type: Contract","18 N Salem St ","Dover, NJ 07801 | Map","Phone: (862) 244-3932","www.2ndact.beer",2018-10-30
"2nd Bridge Brewing Company","Type: Micro","642 Hilliard St ","Manchester, CT 06042-2700 | Map","Phone: (860) 783-8580","www.2ndbridgebrewing.com",2018-10-30
"2nd Shift Brewing Co","Type: Brewpub","1601 Sublette Ave ","Saint Louis, MO 63110-1924 | Map","Phone: (618) 791-0728","www.2ndshiftbrewing.com",2018-10-30
"2nd Story Brewing Company","Type: Brewpub","117 Chestnut St Frnt ","Philadelphia, PA 19106-4700 | Map","Phone: (267) 314-5770","http://www.2ndstorybrewing.com/",2018-10-30
"2SP Brewing Company","Type: Micro","120 Concord Rd ","Aston, PA 19014-2909 | Map","Phone: (484) 483-7860","www.2spbrewing.com",2018-10-30
"2Toms Brewing Company","Type: Brewpub"," ","Fort Wayne, IN ","Phone: (260) 402-7644","www.2tomsbrewing.com",2018-10-30
"3 Beards Beer Company","Type: Contract","4 Main St ","Williamsburg, MA 01096 | Map","Phone: (617) 383-7039","www.3beardsbeer.com",2018-10-30
"3 Daughters Brewing","Type: Micro","222 22nd St S ","Saint Petersburg, FL 33712-1240 | Map","Phone: (727) 495-6002","www.3dbrewing.com",2018-10-30
"3 Disciples Brewing","Type: Micro"," ","Sebastopol, CA 95472-5937","Phone: (707) 228-7309","www.3disciplesbrewing.com/home",2018-10-30
"3 Freaks Brewing Co","Type: Micro","7140 E County Line Rd ","Highlands Ranch, CO 80126-3926 | Map","Phone: (720) 299-0994","www.3freaksbrewery.com",2018-10-30
"3 Iron Brewing Company","Type: Micro","898 Via Lata Ste A ","Colton, CA 92324-3920 | Map","Phone: (909) 533-4892","www.3ironbrewingco.com",2018-10-30
"3 Keys Brewing Company, LLC","Type: Brewpub","2505 Manatee Ave E ","Bradenton, FL 34208-2421 | Map","Phone: (941) 218-0396","www.3keysbrewing.com",2018-10-30
"3 Nations Brewing","Type: Micro","2405 Squire Pl Ste 200 ","Farmers Branch, TX 75234-4714 | Map","Phone: (469) 660-7184","www.threenationsbrewing.com",2018-10-30
"3 Sheeps Brewing Co","Type: Micro","1837 North Ave ","Sheboygan, WI 53083-4620 | Map","Phone: (920) 946-9715","www.3sheepsbrewing.com",2018-10-30
"3 Sheets Brewery","Type: Micro","136 W 1st Ave ","Albany, OR 97321 | Map","Phone: (541) 619-0183","www.3sheetsbrewery.com",2018-10-30
"3 Sons Brewing Co.","Type: Proprietor","236 N Federal Hwy ","Dania, FL 33004-2870 | Map","Phone: (954) 601-3833","www.3sonsbrewingco.com",2018-10-30
"3 Stars Brewing Co","Type: Micro","6400 Chillum Pl NW Ste B ","Washington, DC 20012-2111 | Map","Phone: (202) 670-0333","www.3starsbrewing.com",2018-10-30
"30 Mile Brewing Co.","Type: Micro","39 Ragged Rock Rd Unit 5 ","Old Saybrook, CT 06475-1518 | Map","Phone: (860) 339-5238","www.30milebrewingco.com",2018-10-30
"300 Suns Brewing Company","Type: Brewpub","335 1st Ave Unit C ","Longmont, CO 80501-5958 | Map",NA,"www.300sunsbrewing.com",2018-10-30
"32 North Brewing Co","Type: Micro","8655 Production Ave Ste A ","San Diego, CA 92121-2258 | Map","Phone: (619) 363-2622",NA,2018-10-30
"34 Degree North Experiment Station","Type: Micro","4802 Main St ","Shallotte, NC 28470 | Map",NA,NA,2018-10-30
"350 Brewing Co","Type: Brewpub","7144 183rd St ","Tinley Park, IL 60477-3933 | Map","Phone: (708) 825-7339","www.350brewing.com",2018-10-30
"38 State Brewing","Type: Micro","8071 S Broadway Ste A ","Littleton, CO 80122-2730 | Map","Phone: (720) 638-3678","www.38statebrew.com",2018-10-30
"38°-75° Brewing","Type: Brewpub","2000 Coastal Highway STE 105 ","Rehoboth Beach, DE 19971 | Map","Phone: (302) 227-8519",NA,2018-10-30
"380 Brewing Company","Type: Planning"," ","Clancy, MT 59634","Phone: (206) 579-6509",NA,2018-10-30
"3cross Fermentation Cooperative","Type: Micro","4 Knowlton Ave ","Worcester, MA 01603 | Map","Phone: (508) 615-8195","www.3cross.coop",2018-10-30
"3rd Act Brewery LLC","Type: Planning"," ",",  ","Phone: (651) 714-1524",NA,2018-10-30
"3rd Degree Brewhouse","Type: Micro","1625 N Main St ","Fuquay Varina, NC 27526 | Map","Phone: (919) 201-5457","www.facebook.com/3rddegreebrewhouse/",2018-10-30
"3rd Planet Brewing","Type: Micro","120 Partin Dr N ","Niceville, FL 32578-2053 | Map","Phone: (850) 502-9952","www.facebook.com/3rdplanetbrewing/",2018-10-30
"3rd Rock Brewing Company","Type: Micro","134 Industrial Park Dr ","Trenton, NC 28585-9593 | Map","Phone: (252) 631-9213","www.3rockbrew.com",2018-10-30
"3rd Turn Brewing","Type: Micro","10408 Watterson Trl ","Louisville, KY 40299-3702 | Map","Phone: (502) 482-3373","www.3rdturnbrewing.com",2018-10-30
"3rd Wave Brewing Co","Type: Micro","501 N Bi State Blvd ","Delmar, DE 19940-1106 | Map","Phone: (302) 907-0423","www.3rdwavebrewingco.com",2018-10-30
"4 By 4 Brewing Company","Type: Micro","2811 E Galloway St Ste A ","Springfield, MO 65804-4601 | Map",NA,"www.4by4brewingcompany.com",2018-10-30
"4 Hands Brewing Co","Type: Regional","1220 S 8th St ","Saint Louis, MO 63104-3610 | Map","Phone: (314) 436-1559",NA,2018-10-30
"4 Noses Brewing Company","Type: Micro","8855 W 116th Cir Ste 3 ","Broomfield, CO 80021-2521 | Map","Phone: (720) 460-2797","4nosesbrewing.com",2018-10-30
"400 North Brewing","Type: Planning"," ","Sugarhill, GA 30518-7916","Phone: (404) 791-1119","400northbrewing.com",2018-10-30
"404 Brewing Company","Type: Planning"," ",",  ","Phone: (407) 592-4481",NA,2018-10-30
"406 Brewing Company","Type: Micro","111 E Oak St. 1A","Bozeman, MT 59715-2967 | Map","Phone: (406) 585-3745","www.406brewingcompany.com",2018-10-30
"412 Brews","Type: Brewpub","706 Island Ave ","Mc Kees Rocks, PA 15136-3287 | Map",NA,"www.412brews.com",2018-10-30
"42 North Brewing Company","Type: Brewpub","25 Pine St ","East Aurora, NY 14052-1827 | Map","Phone: (716) 805-7500","www.42northbrewing.com",2018-10-30
"4204 Main Street Brewing Co","Type: Brewpub","6435 W MAIN ST ","Belleville, IL 62223-3801 | Map","Phone: (618) 416-7261",NA,2018-10-30
"44 North Brewing","Type: Planning"," ",",  ","Phone: (562) 716-5840","www.44northbrewing.com",2018-10-30
"450 North Brewing Company @ Simmons Winery","Type: Brewpub","8111 E 450 N ","Columbus, IN 47203-8106 | Map","Phone: (812) 546-0091","www.450northbrewing.com",2018-10-30
"47 Hills Brewing Co","Type: Brewpub","137 S Linden Ave ","South San Francisco, CA 94080-6410 | Map","Phone: (650) 867-8476","47hillsbrewingcompany.com",2018-10-30
"49th State Brewing Co","Type: Micro","248 Parks Hwy 5 Mile ","Healy, AK 99743 | Map",NA,NA,2018-10-30
"49th State Brewing Co - Anchorage","Type: Brewpub","717 W 3rd Ave ","Anchorage, AK 99501-2104 | Map","Phone: (907) 683-2739","www.49statebrewing.com/",2018-10-30
"4B's Brewery","Type: Brewpub","215 W Main St ","Cedaredge, CO 81413-3339 | Map","Phone: (970) 856-7762","www.4bsbrewery.com",2018-10-30
"4kd Crick Brewery","Type: Brewpub","211 Carpenter Rd ","Defiance, OH 43512-1718 | Map","Phone: (419) 956-2863","Www.4kdcrickbrewery.com",2018-10-30
"4th Tap Brewing Cooperative","Type: Micro","10615 Metric Blvd ","Austin, TX 78758-4520 | Map","Phone: (512) 908-9817",NA,2018-10-30
"5 Alarm Brewing Co","Type: Micro","211 W Main St ","Lake Mills, IA 50450 | Map","Phone: (641) 592-2739",NA,2018-10-30
"5 Arch Brewing","Type: Planning"," ",",  ","Phone: (765) 518-8924",NA,2018-10-30
"5 Lakes Brewing Co.","Type: Brewpub","1638 142nd Ave ","Dorr, MI 49323-9312 | Map","Phone: (616) 359-9555","www.5lakesbrewing.com",2018-10-30
"5 Rabbit Cerveceria Inc","Type: Planning"," ","Chicago, IL ",NA,NA,2018-10-30
"5 Rabbit Cerveceria Inc","Type: Micro","6398 W 74th St ","Chicago, IL 60638-6129 | Map","Phone: (312) 895-9591","www.5rabbitbrewery.com",2018-10-30
"5 Rights Brewing Co","Type: Micro","7028 46th St NE ","Marysville, WA 98270-6989 | Map","Phone: (425) 334-1026","www.5rightsbrewing.com",2018-10-30
"5 Rivers Brewing LLC","Type: Planning"," ","Spanish Fort, AL 36527","Phone: (251) 689-7483","www.5riversbrewing.com",2018-10-30
"5 Seasons Brewing Co - Prado","Type: Brewpub","5600 Roswell Rd ","Sandy Springs, GA 30342-1150 | Map","Phone: (404) 255-5911","www.5seasonsbrewing.com",2018-10-30
"5 Seasons Brewing Co - Westside","Type: Brewpub","1000 Marietta St NW Ste 204 ","Atlanta, GA 30318-0683 | Map","Phone: (404) 875-3232","www.5seasonsbrewing.com",2018-10-30
"5 Stones Artisan Brewery","Type: Micro","11335 Farm To Market Road 1863 ","New Braunfels, TX 78132 | Map","Phone: (210) 380-8215",NA,2018-10-30
"509 Bierwerks","Type: Planning"," ","Wenatchee, WA 98801","Phone: (509) 548-3300",NA,2018-10-30
"515 Brewing Co","Type: Micro","7700 University Ave ","Clive, IA 50325-1271 | Map","Phone: (515) 661-4615","www.515brewing.com",2018-10-30
"5150 Brewing At The Brass Tap Rocklin","Type: Micro","5150 Commons Dr Ste 101 ","Rocklin, CA 95677-3925 | Map","Phone: (916) 246-2729","www.brasstaprocklin.com",2018-10-30
"5168 Brewing Company","Type: Brewpub","5730 Hidcote Dr. ","Lincoln, NE 68516 | Map","Phone: (402) 875-5588","http://www.5168brewing.com/",2018-10-30
"51st State Brewing Company","Type: Brewpub","115 Harding Ave ","Kingsford, MI 49802-3815 | Map","Phone: (906) 828-2167","www.51ststatebrewingcompany.com",2018-10-30
"51st Ward Beer Company","Type: Contract","323 N Washington St ","Westmont, IL 60559-1512 | Map","Phone: (773) 220-5899",NA,2018-10-30
"54-40 Brewing Company","Type: Brewpub","3801 S Truman Rd Ste 1 ","Washougal, WA 98671-2589 | Map","Phone: (360) 907-7062","www.54-40brewing.com",2018-10-30
"550 Brewing","Type: Proprietor","119 E Chuska St ","Aztec, NM 87410-2110 | Map","Phone: (505) 486-1094","Www.550brew.com",2018-10-30
"559 Local Brewing","Type: Micro","608 4th St ","Clovis, CA 93612-1183 | Map","Phone: (559) 473-1875","www.fresnobrewingcompany.com",2018-10-30
"56 Brewing","Type: Micro","3055 Columbia Ave NE Ste 102 ","Minneapolis, MN 55418-1860 | Map","Phone: (612) 404-0056","www.56brewing.com",2018-10-30
"5770 Brewery","Type: Micro","303A W Main St ","Teutopolis, IL 62467-1355 | Map","Phone: (618) 339-7841","www.5770brewery.com",2018-10-30
"5th Element Brewing","Type: Planning"," ","Leander, TX 78641-4009","Phone: (915) 637-8199",NA,2018-10-30
"5x5 Brewing Co.","Type: Micro","801 N Bryan Rd Ste 174 ","Mission, TX 78572-6215 | Map","Phone: (956) 445-5421","www.5x5brewing.com",2018-10-30
"6 Bears & A Goat Brewing Company, LLC","Type: Brewpub","1140 International Pkwy ","Fredericksburg, VA 22406-1126 | Map","Phone: 540-356-9056 Ext. 2","www.6bgbrewingco.com",2018-10-30
"6 Bridges Brewing","Type: Planning"," ","Johns Creek, GA 30097","Phone: (770) 846-0292","www.sixbridgesbrewing.com",2018-10-30
"6 Degrees of Separation","Type: Brewpub","35 Main St ","Ossining, NY 10562-4662 | Map","Phone: 914-432-5969","www.6degreesbp.com",2018-10-30
"603 Brewery","Type: Micro","12 Liberty Dr Unit 7 ","Londonderry, NH 03053-2286 | Map","Phone: (603) 630-7745","www.603brewery.com",2018-10-30
"608 Brewing Company","Type: Micro","83 Copeland Ave ","La Crosse, WI 54603 | Map",NA,"www.608brewingcompany.com",2018-10-30
"612 Brew","Type: Micro","945 Broadway St NE ","Minneapolis, MN 55413-1471 | Map","Phone: (612) 964-8939","www.612brew.com",2018-10-30
"6A Brewing Company","Type: Micro","406 Route 6A ","East Sandwich, MA 02537 | Map","Phone: (508) 566-3258","www.6abrewing.com",2018-10-30
"6th and La Brea","Type: Brewpub","600 South La Brea Ave ","Los Angeles, CA 90036 | Map",NA,"www.6thlabrea.com",2018-10-30
"7 Devils Brewing Co","Type: Brewpub","247 S 2nd St ","Coos Bay, OR 97420-1642 | Map","Phone: (541) 808-3738","www.7devilsbrewery.com",2018-10-30
"7 Dogs Brewpub","Type: Planning"," ","Wytheville, VA 24382","Phone: (276) 228-0994",NA,2018-10-30
"7 Hermits Brewing Company","Type: Brewpub","PO Box 3186 ","Eagle, CO 81631-3186 | Map","Phone: (970) 471-4979","www.7hermitsbrewing.com",2018-10-30
"7 Hills Brewing Co","Type: Brewpub","115 S 15th St Ste 100 ","Richmond, VA 23219-4254 | Map","Phone: (804) 716-8333",NA,2018-10-30
"7 Hills Brewing Company","Type: Brewpub","1085 Washington St ","Dubuque, IA 52001-4932 | Map","Phone: (563) 587-8306","www.7hillsbrew.com",2018-10-30
"7 Locks Brewing","Type: Micro","12227 Wilkins Ave ","Rockville, MD 20852-1833 | Map","Phone: (301) 841-7123","www.7locksbrewing.com",2018-10-30
"7 Mile Brewery","Type: Micro","3156 Route 9 South Ste 1-2","Rio Grande, NJ 08242 | Map","Phone: (609) 365-7777","www.7milebrew.com",2018-10-30
"7 Pour 0 Brewery","Type: Micro","3168 Melody Ln ","Portsmouth, OH 45662 | Map","Phone: (740) 352-2223","www.7pour0brewery.com",2018-10-30
"7 Seas Brewing Co","Type: Micro","2101 Jefferson Ave ","Tacoma, WA 98402-1519 | Map","Phone: (253) 572-7771","www.7seasbrewing.com",2018-10-30
"7 Sins Brewery","Type: Micro","10593 W Main Rd ","Ripley, NY 14775-9746 | Map","Phone: (716) 581-2090","www.7sinsbrewery.com",2018-10-30
"7 Sisters Brewing Co","Type: Brewpub","181 Tank Farm Rd Ste 110 ","San Luis Obispo, CA 93401-7082 | Map","Phone: (805) 868-7133","www.7sistersbrewing.com",2018-10-30
"718BrewCafe, LLP","Type: Brewpub","718 Market St ","Metropolis, IL 62960-1634 | Map","Phone: (618) 524-7180","www.718BrewCafe.com",2018-10-30
"734 Brewing Company","Type: Micro","15 E Cross St ","Ypsilanti, MI 48198 | Map","Phone: (734) 649-6453",NA,2018-10-30
"7th Settlement Brewery","Type: Brewpub","47 Washington St ","Dover, NH 03820-3877 | Map","Phone: (603) 373-1001","www.7thsettlement.com",2018-10-30
"7th Wave Brewing","Type: Micro","120 N Meadows Rd Ste 8 ","Medfield, MA 02052-1594 | Map","Phone: (617) 645-3397","www.7thwavebrewing.com",2018-10-30
"7venth Sun Brewery","Type: Micro","1012 Broadway ","Dunedin, FL 34698-5762 | Map","Phone: (727) 733-3013","www.7venthsun.com",2018-10-30
"7venth Sun Tampa","Type: Micro","6809 N Nebraska Ave ","Tampa, FL 33604-5660 | Map","Phone: (813) 231-5900",NA,2018-10-30
"8 Bit Brewing Company","Type: Brewpub","26755 Jefferson Ave Ste F ","Murrieta, CA 92562-6941 | Map","Phone: (951) 677-2322","www.8bitbrewerycompany.com",2018-10-30
"81Bay Brewing Company","Type: Micro","4465 W Gandy Blvd Ste 600 ","Tampa, FL 33611-3379 | Map","Phone: (813) 372-2739","81baybrewco.com",2018-10-30
"841 Brewhouse","Type: Brewpub","841 E Milwaukee St ","Whitewater, WI 53190-2126 | Map","Phone: (262) 473-8000",NA,2018-10-30
"8-Bit Aleworks","Type: Micro","1050 N Fairway Dr Bldg F Ste 10 ","Avondale, AZ 85323-5206 | Map","Phone: (623) 925-1650","www.8-bitaleworks.com",2018-10-30
