"full_string","pull_date"
"
						10 Torr Distilling and Brewing490 Mill St Reno, NV 89502 | MapPhone: (775) 530-7014Type: Microwww.10torr.com",2018-08-20
"
						101 Brewery294793 US Highway 101 Quilcene, WA 98376-9000 | MapPhone: (360) 765-6485Type: Brewpubwww.101brewery.com",2018-08-20
"
						101 North Brewing Company1304 Scott St Ste D Petaluma, CA 94954-7100 | MapPhone: (707) 753-4934Type: Microwww.101northbeer.com",2018-08-20
"
						105 West Brewing Co1043 Park St Castle Rock, CO 80109-1585 | MapPhone: (303) 325-7321Type: Microwww.105westbrewing.com",2018-08-20
"
						10-56 Brewing Company2120 S US Hwy 35 Knox, IN 46534 | MapPhone: (630) 816-5790Type: Micro",2018-08-20
"
						10K Brewing2005 2nd Ave Anoka, MN 55303-2243 | MapPhone: (763) 392-4753Type: Micro10KBrew.com",2018-08-20
"
						10th District Brewing Company491 Washington St Abington, MA 02351-2419 | MapPhone: (781) 307-1554Type: Microwww.10thdistrictbrewing.com",2018-08-20
"
						11 Below Brewing Company6820 Bourgeois Rd Houston, TX 77066-3107 | MapPhone: (281) 444-2337Type: Microwww.11belowbrewing.com",2018-08-20
"
						1188 Brewing Co141 E Main St John Day, OR 97845-1210 | MapPhone: (541) 575-1188Type: Brewpubwww.1188brewing.com",2018-08-20
"
						12 Gates Brewing Company80 Earhart Dr Ste 20 Williamsville, NY 14221-7804 | MapPhone: (716) 906-6600Type: Brewpubwww.12gatesbrewing.com",2018-08-20
"
						12 West Brewing Company3000 E Ray Rd Bldg 6 Gilbert, AZ 85296-7832 | MapPhone: (602) 339-5014Type: Microwww.12westbrewing.com",2018-08-20
"
						12 West Brewing Company - Production Facility7733 E McDowell Rd Mesa, AZ 85207 | MapType: MicroGreater than 25% ownership by 12 West Brewing Company, which is a craft brewer.",2018-08-20
"
						127 Brewing3090 Shirley Dr Jackson, MI 49201-7010 | MapPhone: (517) 258-1346Type: Micro",2018-08-20
"
						12Degree Brewing820 Main St Louisville, CO 80027-1865 | MapPhone: (303) 579-1004Type: Brewpubwww.12degree.com",2018-08-20
"
						12welve Eyes Brewing141 E 4th St Ste LL2Saint Paul, MN 55101-1639 | MapPhone: (651) 493-8106Type: Microwww.12welveEyes.com",2018-08-20
"
						13 Below Brewery7391 Forbes Rd Cincinnati, OH 45233-1013 | MapPhone: (513) 975-0613Type: Microwww.13belowbrewery.com",2018-08-20
"
						13 Point Brewing Lemon Grove, CA 91945Phone: (619) 724-2445Type: Planningwww.13pointbrewing.com",2018-08-20
"
						13 Stripes Brewery250 Mill St, Suite PW3101 Taylors, SC 29687 | MapPhone: (864) 349-1430Type: Brewpubwww.13StripesBrewery.com",2018-08-20
"
						13 Virtues Brewing Co6410 SE Milwaukie Ave Portland, OR 97202-5518 | MapPhone: (503) 239-3831Type: Brewpubwww.13virtuesbrewing.com",2018-08-20
"
						1323 R & D1323 Capital Blvd 1323 R and DRaleigh, NC 27603-1117 | MapPhone: (919) 977-5654Type: Microwww.1323rnd.com",2018-08-20
"
						13th Child Brewery345 S Main St Williamstown, NJ 08094 | MapPhone: (609) 214-2289Type: Micro",2018-08-20
"
						14 Cannons Brewing Company31125 Via Colinas Ste 907 Westlake Village, CA 91362-3974 | MapPhone: (818) 699-6165Type: Micro14cannons.com",2018-08-20
"
						14 Lakes Brewery Crosslake, MN 56442Phone: (218) 692-4129Type: Micro",2018-08-20
"
						1487 Brewery Alexandria, OH Type: Micro",2018-08-20
"
						14er Brewing Company2801 Walnut St Denver, CO 80205-2235 | MapPhone: (720) 773-1437Type: Proprietorwww.14erBrewing.com",2018-08-20
"
						14th Star Brewing133 N Main St Ste 7 Saint Albans, VT 05478-1735 | MapPhone: (802) 528-5988Type: Microwww.14thstarbrewing.com",2018-08-20
"
						16 Lots Brewing753 Reading Rd Mason, OH 45040-1303 | MapPhone: (513) 486-3672Type: Brewpubwww.16lots.com",2018-08-20
"
						16 Mile Brewing Co413 S Bedford St Georgetown, DE 19947-1849 | MapPhone: (302) 253-8816Type: Microwww.16milebrewery.com",2018-08-20
"
						16 Stone Brewpub9542 Main St Holland Patent, NY 13354 | MapPhone: (315) 865-8500Type: Brewpubwww.16stonebrewpub.com",2018-08-20
"
						1623 Brewing CO, llc1146 colonel Joshua Ct Westminister, MD 21157 | MapType: Contract",2018-08-20
"
						1718 Ocracoke Brewing1129 Irvin Garrish Hwy Ocracoke, NC 27960 | MapPhone: (252) 928-2337Type: Brewpubwww.ocracokebrewing.com",2018-08-20
"
						1766 Brewing Company7  Route 25 Plymouth, NH 03264-3141 | MapPhone: (603) 236-6850Type: Micro",2018-08-20
"
						1781 Brewing Company11109 Plank Rd Spotsylvania, VA 22553-4258 | MapPhone: (540) 841-2598Type: Micro",2018-08-20
"
						17th State Brewing Company Cleveland, OH Type: Contractwww.17statebrewco.com",2018-08-20
"
						180 and Tapped2010 A State Ave Coraopolis, PA 15108 | MapPhone: (412) 737-5273Type: Microwww.180andtapped.com",2018-08-20
"
						1817 Brewery100 B South Olive St okolona, MS 38860 | MapPhone: (662) 305-5907Type: Micro",2018-08-20
"
						1840 Brewing Company342 E Ward St Milwaukee, WI 53207-1348 | MapPhone: (414) 236-4056Type: Microwww.1840brewing.com",2018-08-20
"
						1850 Brewing Company Mariposa, CA 95338Type: Microwww.1850restaurant.com",2018-08-20
"
						18th Street Brewery5417 Oakley Ave Hammond, IN 46320-1817 | MapType: MicroGreater than 25% ownership by 18th Street Brewery, which is a craft brewer.",2018-08-20
"
						18th Street Brewery5725 Miller Ave Gary, IN 46403-2871 | MapType: Microwww.18thstreetbrewery.com",2018-08-20
"
						1905 Brewing Company1301 S Chestnut St Assumption, IL 62510-8504 | MapPhone: (217) 254-9374Type: Micro1905BrewingCompany.com",2018-08-20
"
						1912 Brewing2045 N Forbes Blvd Ste 105 Tucson, AZ 85745-1444 | MapPhone: (520) 256-4851Type: Microwww.1912brewing.com",2018-08-20
"
						192 Brewing7324 NE 175th St Kenmore, WA 98028-2500 | MapPhone: (425) 424-2337Type: Microwww.192brewing.com",2018-08-20
"
						1940's Brewing Company1337 Lincoln Ave Unit 1 Holbrook, NY 11741-2275 | MapPhone: 631-533-4838Type: Microwww.1940sbrewingcompany.com",2018-08-20
"
						1st Republic Brewing Co39 River Rd Ste 6 Essex Junction, VT 05452-3879 | MapPhone: (802) 857-5318Type: Microwww.1strepublic-homebrew.com",2018-08-20
"
						2 Basset Brewery202 E Main St White Sulphur Springs, MT 59645-9081 | MapPhone: (406) 547-2337Type: Microwww.2bassetbrewery.com",2018-08-20
"
						2 Dogz and A Guy Brewing228 Church St Montrose, PA 18801-1271 | MapPhone: (570) 432-0069Type: Micro2dogzandaguybrewing.com",2018-08-20
"
						2 Feet Brewing Company80 Columbia St Bangor, ME 04401-6319 | MapPhone: 207-573-1979  Type: Brewpubwww.2feetbrewing.com",2018-08-20
"
						2 Row Brewing6856 S 300 W Midvale, UT 84047-1083 | MapPhone: (801) 987-8663Type: Microwww.2rowbrewing.com",2018-08-20
"
						2 Silos Brewing Company9925 Discovery Blvd Manassas, VA 20109 | MapPhone: (703) 420-2257Type: Microwww.2silosbrewing.com",2018-08-20
"
						2 Tones Brewing Co. Whitehall, OH 43213-1308Type: Microwww.2tonesbrewingco.com",2018-08-20
"
						2 Tread Brewing Co1018 Santa Rosa Plz Santa Rosa, CA 95401-6399 | MapPhone: (707) 327-2822Type: Brewpubwww.2treadbrewing.com",2018-08-20
"
						2 Way Brewing Company18 W Main St Beacon, NY 12508-2512 | MapPhone: (845) 202-7334Type: Brewpubwww.2waybrewingcompany.com",2018-08-20
"
						2 Witches Winery and Brewing Company209 Trade St Danville, VA 24541-3545 | MapPhone: (434) 549-2739Type: Microwww.2witcheswinebrew.com",2018-08-20
"
						20 Corners Brewing LLC14148 NE 190th St Ste A Woodinville, WA 98072-8437 | MapPhone: (425) 375-5223Type: Brewpubwww.20cornersbrewing.com",2018-08-20
"
						210 Brewing Co3438 Stoluckquamish Ln Arlington, WA 98223-9056 | MapPhone: (360) 474-9740Type: Brewpubwww.angelofthewind.com",2018-08-20
"
						212 Brewing Company21476 Route 23 Davenport, NY 13750 | MapPhone: (212) 377-9050Type: Contract",2018-08-20
"
						217 Brew Works217 South St S Wilson, NC 27893-4911 | MapPhone: (252) 991-6959Type: Micro",2018-08-20
"
						21st Amendment Brewery2010 Williams St Unit A San Leandro, CA 94577-2334 | MapPhone: (510) 595-2111Type: Regionalwww.21st-Amendment.com",2018-08-20
"
						21st Amendment Brewery Cafe563 2nd St San Francisco, CA 94107-1411 | MapPhone: (415) 369-0900Type: Brewpubwww.21st-amendment.comGreater than 25% ownership by 21st Amendment Brewery, which is a craft brewer.",2018-08-20
"
						23 Brewing Company / Lizzie B's Cafe2010 KY Route 321 Prestonsburg, KY 41653-9103 | MapPhone: (606) 886-2844Type: Brewpubwww.23brewingcompany.com",2018-08-20
"
						238 Brewing Company10321 E Day Mt Spokane Rd Mead, WA 99021 | MapPhone: (509) 238-2739Type: Microwww.238brewing.com",2018-08-20
"
						23rd Street Brewery3512 Clinton Pkwy Lawrence, KS 66047-2145 | MapPhone: (785) 856-2337Type: Brewpubwww.brew23.com",2018-08-20
"
						25 O'Clock Brewing Company208 W Griggs St Urbana, IL 61801 | MapType: Microwww.25oclock.net",2018-08-20
"
						26 Degree Brewing Company2600 E Atlantic Blvd Pompano Beach, FL 33062-4940 | MapPhone: (954) 532-6964Type: Micro",2018-08-20
"
						28th State Brewing Houston, TX 77095-6933Type: Planning",2018-08-20
"
						2C Family Brewing Co. Nampa, ID 83651-3957Phone: (208) 995-4802Type: Planning",2018-08-20
"
						2Kids Brewing Company8680 Miralani Dr Ste 123 San Diego, CA 92126-6391 | MapPhone: (858) 480-5437Type: Microwww.2kidsBrewing.com",2018-08-20
"
						2nd Act Beer18 N Salem St Dover, NJ 07801 | MapPhone: (862) 244-3932Type: Contractwww.2ndact.beer",2018-08-20
"
						2nd Bridge Brewing Company642 Hilliard St Manchester, CT 06042-2700 | MapPhone: (860) 783-8580Type: Microwww.2ndbridgebrewing.com",2018-08-20
"
						2nd Shift Brewing Co1601 Sublette Ave Saint Louis, MO 63110-1924 | MapPhone: (618) 791-0728Type: Brewpubwww.2ndshiftbrewing.com",2018-08-20
"
						2nd Story Brewing Company117 Chestnut St Frnt Philadelphia, PA 19106-4700 | MapPhone: (267) 314-5770Type: Brewpubhttp://www.2ndstorybrewing.com/",2018-08-20
"
						2SP Brewing Company120 Concord Rd Aston, PA 19014-2909 | MapPhone: (484) 483-7860Type: Microwww.2spbrewing.com",2018-08-20
"
						2Toms Brewing Company Fort Wayne, IN Phone: (260) 402-7644Type: Brewpubwww.2tomsbrewing.com",2018-08-20
"
						3 Beards Beer Company4 Main St Williamsburg, MA 01096 | MapPhone: (617) 383-7039Type: Contractwww.3beardsbeer.com",2018-08-20
"
						3 Daughters Brewing222 22nd St S Saint Petersburg, FL 33712-1240 | MapPhone: (727) 495-6002Type: Microwww.3dbrewing.com",2018-08-20
"
						3 Disciples Brewing Sebastopol, CA 95472-5937Phone: (707) 228-7309Type: Microwww.3disciplesbrewing.com/home",2018-08-20
"
						3 Freaks Brewing Co7140 E County Line Rd Highlands Ranch, CO 80126-3926 | MapPhone: (720) 299-0994Type: Microwww.3freaksbrewery.com",2018-08-20
"
						3 Iron Brewing Company898 Via Lata Ste A Colton, CA 92324-3920 | MapPhone: (909) 533-4892Type: Microwww.3ironbrewingco.com",2018-08-20
"
						3 Keys Brewing Company, LLC2505 Manatee Ave E Bradenton, FL 34208-2421 | MapPhone: (941) 218-0396Type: Brewpubwww.3keysbrewing.com",2018-08-20
"
						3 Nations Brewing2405 Squire Pl Ste 200 Farmers Branch, TX 75234-4714 | MapPhone: (469) 660-7184Type: Microwww.threenationsbrewing.com",2018-08-20
"
						3 Sheeps Brewing Co1837 North Ave Sheboygan, WI 53083-4620 | MapPhone: (920) 946-9715Type: Microwww.3sheepsbrewing.com",2018-08-20
"
						3 Sheets Brewery136 W 1st Ave Albany, OR 97321 | MapPhone: (541) 619-0183Type: Microwww.3sheetsbrewery.com",2018-08-20
"
						3 Sons Brewing Co.236 N Federal Hwy Dania, FL 33004-2870 | MapPhone: (954) 601-3833Type: Proprietorwww.3sonsbrewingco.com",2018-08-20
"
						3 Stars Brewing Co6400 Chillum Pl NW Ste B Washington, DC 20012-2111 | MapPhone: (202) 670-0333Type: Microwww.3starsbrewing.com",2018-08-20
"
						30 Mile Brewing Co.39 Ragged Rock Rd Unit 5 Old Saybrook, CT 06475-1518 | MapPhone: (860) 339-5238Type: Microwww.30milebrewingco.com",2018-08-20
"
						300 Suns Brewing Company335 1st Ave Unit C Longmont, CO 80501-5958 | MapType: Brewpubwww.300sunsbrewing.com",2018-08-20
"
						32 North Brewing Co8655 Production Ave Ste A San Diego, CA 92121-2258 | MapPhone: (619) 363-2622Type: Micro",2018-08-20
"
						34 Degree North Experiment Station4802 Main St Shallotte, NC 28470 | MapType: MicroGreater than 25% ownership by Red Hare Brewing Company, which is a craft brewer.",2018-08-20
"
						350 Brewing Co7144 183rd St Tinley Park, IL 60477-3933 | MapPhone: (708) 825-7339Type: Brewpubwww.350brewing.com",2018-08-20
"
						38 State Brewing8071 S Broadway Ste A Littleton, CO 80122-2730 | MapPhone: (720) 638-3678Type: Microwww.38statebrew.com",2018-08-20
"
						38°-75° Brewing2000 Coastal Highway STE 105 Rehoboth Beach, DE 19971 | MapPhone: (302) 227-8519Type: Brewpub",2018-08-20
"
						380 Brewing Company Clancy, MT 59634Phone: (206) 579-6509Type: Planning",2018-08-20
"
						3cross Fermentation Cooperative4 Knowlton Ave Worcester, MA 01603 | MapPhone: (508) 615-8195Type: Microwww.3cross.coop",2018-08-20
"
						3rd Act Brewery LLC ,  Phone: (651) 714-1524Type: Planning",2018-08-20
"
						3rd Degree Brewhouse1625 N Main St Fuquay Varina, NC 27526 | MapPhone: (919) 201-5457Type: Microwww.facebook.com/3rddegreebrewhouse/",2018-08-20
"
						3rd Planet Brewing120 Partin Dr N Niceville, FL 32578-2053 | MapPhone: (850) 502-9952Type: Microwww.facebook.com/3rdplanetbrewing/",2018-08-20
"
						3rd Rock Brewing Company134 Industrial Park Dr Trenton, NC 28585-9593 | MapPhone: (252) 631-9213Type: Microwww.3rockbrew.com",2018-08-20
"
						3rd Turn Brewing10408 Watterson Trl Louisville, KY 40299-3702 | MapType: Microwww.3rdturnbrewing.com",2018-08-20
"
						3rd Wave Brewing Co501 N Bi State Blvd Delmar, DE 19940-1106 | MapPhone: (302) 907-0423Type: Microwww.3rdwavebrewingco.com",2018-08-20
"
						4 By 4 Brewing Company2811 E Galloway St Ste A Springfield, MO 65804-4601 | MapType: Microwww.4by4brewingcompany.com",2018-08-20
"
						4 Hands Brewing Co1220 S 8th St Saint Louis, MO 63104-3610 | MapPhone: (314) 436-1559Type: Regional",2018-08-20
"
						4 Noses Brewing Company8855 W 116th Cir Ste 3 Broomfield, CO 80021-2521 | MapPhone: (720) 460-2797Type: Micro4nosesbrewing.com",2018-08-20
"
						400 North Brewing Sugarhill, GA 30518-7916Phone: (404) 791-1119Type: Planning400northbrewing.com",2018-08-20
"
						406 Brewing Company111 E Oak St. 1ABozeman, MT 59715-2967 | MapPhone: (406) 585-3745Type: Microwww.406brewingcompany.com",2018-08-20
"
						411 Broadway Ales Fresno, CA 93721-2801Phone: (541) 270-6076Type: Planning",2018-08-20
"
						412 Brews706 Island Ave Mc Kees Rocks, PA 15136-3287 | MapType: Brewpubwww.412brews.com",2018-08-20
"
						42 North Brewing Company25 Pine St East Aurora, NY 14052-1827 | MapPhone: (716) 805-7500Type: Brewpubwww.42northbrewing.com",2018-08-20
"
						4204 Main Street Brewing Co4204 W Main St Belleville, IL 62226 | MapPhone: (618) 416-7261Type: BrewpubGreater than 25% ownership by Mainstreet Brewing Company, which is a craft brewer.",2018-08-20
"
						450 North Brewing Company @ Simmons Winery8111 E 450 N Columbus, IN 47203-8106 | MapPhone: (812) 546-0091Type: Brewpubwww.450northbrewing.com",2018-08-20
"
						47 Hills Brewing Co137 S Linden Ave South San Francisco, CA 94080-6410 | MapPhone: (650) 867-8476Type: Brewpub47hillsbrewingcompany.com",2018-08-20
"
						49th State Brewing Co248 Parks Hwy 5 Mile Healy, AK 99743 | MapType: Brewpub",2018-08-20
"
						49th State Brewing Co - Anchorage717 W 3rd Ave Anchorage, AK 99501-2104 | MapPhone: (907) 683-2739Type: Brewpubwww.49statebrewing.com/Greater than 25% ownership by 49th State Brewing Co, which is a craft brewer.",2018-08-20
"
						4B's Brewery215 W Main St Cedaredge, CO 81413-3339 | MapPhone: (970) 856-7762Type: Brewpubwww.4bsbrewery.com",2018-08-20
"
						4kd Crick Brewery211 Carpenter Rd Defiance, OH 43512-1718 | MapPhone: (419) 956-2863Type: BrewpubWww.4kdcrickbrewery.com",2018-08-20
"
						4th Tap Brewing Cooperative10615 Metric Blvd Austin, TX 78758-4520 | MapPhone: (512) 908-9817Type: Micro",2018-08-20
"
						5 Alarm Brewing Co211 W Main St Lake Mills, IA 50450 | MapPhone: (641) 592-2739Type: Micro",2018-08-20
"
						5 Arch Brewing ,  Phone: (765) 518-8924Type: Planning",2018-08-20
"
						5 Lakes Brewing Co.1638 142nd Ave Dorr, MI 49323-9312 | MapPhone: (616) 359-9555Type: Brewpubwww.5lakesbrewing.com",2018-08-20
"
						5 Rabbit Cerveceria Inc Chicago, IL Type: PlanningGreater than 25% ownership by 5 Rabbit Cerveceria Inc, which is a craft brewer.",2018-08-20
"
						5 Rabbit Cerveceria Inc6398 W 74th St Chicago, IL 60638-6129 | MapPhone: (312) 895-9591Type: Microwww.5rabbitbrewery.com",2018-08-20
"
						5 Rights Brewing Co7028 46th St NE Marysville, WA 98270-6989 | MapPhone: (425) 334-1026Type: Microwww.5rightsbrewing.com",2018-08-20
"
						5 Rivers Brewing LLC Spanish Fort, AL 36527-3161Phone: (251) 689-7483Type: Planning5riversbrewing.com",2018-08-20
"
						5 Seasons Brewing Co - Prado5600 Roswell Rd Sandy Springs, GA 30342-1150 | MapPhone: (404) 255-5911Type: Brewpubwww.5seasonsbrewing.com",2018-08-20
"
						5 Seasons Brewing Co - Westside1000 Marietta St NW Ste 204 Atlanta, GA 30318-0683 | MapPhone: (404) 875-3232Type: Brewpubwww.5seasonsbrewing.comGreater than 25% ownership by 5 Seasons Brewing Co - Prado, which is a craft brewer.",2018-08-20
"
						5 Stones Artisan Brewery11335 Farm To Market Road 1863 New Braunfels, TX 78132 | MapPhone: (210) 380-8215Type: Micro",2018-08-20
"
						515 Brewing Co7700 University Ave Clive, IA 50325-1271 | MapPhone: (515) 661-4615Type: Microwww.515brewing.com",2018-08-20
"
						5150 Brewing At The Brass Tap Rocklin5150 Commons Dr Ste 101 Rocklin, CA 95677-3925 | MapPhone: (916) 246-2729Type: Microwww.brasstaprocklin.com",2018-08-20
"
						5168 Brewing Company5730 Hidcote Dr. Lincoln, NE 68516 | MapPhone: (402) 875-5588Type: Brewpubhttp://www.5168brewing.com/",2018-08-20
"
						51st State Brewing Company115 Harding Ave Kingsford, MI 49802-3815 | MapPhone: (906) 828-2167Type: Brewpubwww.51ststatebrewingcompany.com",2018-08-20
"
						51st Ward Beer Company323 N Washington St Westmont, IL 60559-1512 | MapPhone: (773) 220-5899Type: Contract",2018-08-20
"
						54-40 Brewing Company3801 S Truman Rd Ste 1 Washougal, WA 98671-2589 | MapPhone: (360) 907-7062Type: Brewpubwww.54-40brewing.com",2018-08-20
"
						550 Brewing119 E Chuska St Aztec, NM 87410-2110 | MapPhone: (505) 486-1094Type: ProprietorWww.550brew.com",2018-08-20
"
						559 Local Brewing608 4th St Clovis, CA 93612-1183 | MapPhone: (559) 473-1875Type: Microwww.fresnobrewingcompany.com",2018-08-20
"
						56 Brewing3055 Columbia Ave NE Ste 102 Minneapolis, MN 55418-1860 | MapPhone: (612) 404-0056Type: Microwww.56brewing.com",2018-08-20
"
						5770 Brewery303A W Main St Teutopolis, IL 62467-1355 | MapPhone: (618) 339-7841Type: Microwww.5770brewery.com",2018-08-20
"
						5th Element Brewing Leander, TX 78641-4009Phone: (915) 637-8199Type: Planning",2018-08-20
"
						5x5 Brewing Co.801 N Bryan Rd Ste 174 Mission, TX 78572-6215 | MapPhone: (956) 445-5421Type: Microwww.5x5brewing.com",2018-08-20
"
						6 & 40 Brewery/Taproom Lakewood, CO 80215-5548Phone: (303) 232-5347Type: Planningwww.tomsbrewshop.comGreater than 25% ownership by Tom's Brew Shop.",2018-08-20
"
						6 Bears & A Goat Brewing Company, LLC1140 International Pkwy Fredericksburg, VA 22406-1126 | MapPhone: 540-356-9056 Ext. 2Type: Brewpubwww.6bgbrewingco.com",2018-08-20
"
						6 Bridges Brewing Johns Creek, GA 30097Phone: (770) 846-0292Type: Planningwww.sixbridgesbrewing.com",2018-08-20
"
						6 Degrees of Separation35 Main St Ossining, NY 10562-4662 | MapPhone: 914-432-5969Type: Brewpubwww.6degreesbp.com",2018-08-20
"
						603 Brewery12 Liberty Dr Unit 7 Londonderry, NH 03053-2286 | MapPhone: (603) 630-7745Type: Microwww.603brewery.com",2018-08-20
"
						608 Brewing Company La Crosse, WI 54603Type: Planningwww.608brewingcompany.com",2018-08-20
"
						612 Brew945 Broadway St NE Minneapolis, MN 55413-1471 | MapPhone: (612) 964-8939Type: Microwww.612brew.com",2018-08-20
"
						6A Brewing Company Sandwich, MA Phone: (774) 205-2139Type: Microwww.6abrewing.com",2018-08-20
"
						6th and La Brea600 South La Brea Ave Los Angeles, CA 90036 | MapType: Brewpubwww.6thlabrea.comGreater than 25% ownership by Artisanal Brewers Collective, which is a craft brewer.",2018-08-20
"
						7 Devils Brewing Co247 S 2nd St Coos Bay, OR 97420-1642 | MapPhone: (541) 808-3738Type: Brewpubwww.7devilsbrewery.com",2018-08-20
"
						7 Hermits Brewing CompanyPO Box 3186 Eagle, CO 81631-3186 | MapPhone: (970) 471-4979Type: Brewpubwww.7hermitsbrewing.com",2018-08-20
"
						7 Hills Brewing Company1085 Washington St Dubuque, IA 52001-4932 | MapPhone: (563) 587-8306Type: Brewpubwww.7hillsbrew.com",2018-08-20
"
						7 Locks Brewing12227 Wilkins Ave Rockville, MD 20852-1833 | MapPhone: (301) 841-7123Type: Microwww.7locksbrewing.com",2018-08-20
"
						7 Mile Brewery3156 Route 9 South Ste 1-2Rio Grande, NJ 08242 | MapPhone: (609) 365-7777Type: Microwww.7milebrew.com",2018-08-20
"
						7 Pour 0 Brewery3168 Melody Ln Portsmouth, OH 45662 | MapPhone: (740) 352-2223Type: Microwww.7pour0brewery.com",2018-08-20
"
						7 Seas Brewing Co2101 Jefferson Ave Tacoma, WA 98402-1519 | MapPhone: (253) 572-7771Type: Microwww.7seasbrewing.com",2018-08-20
"
						7 Sins Brewery10593 W Main Rd Ripley, NY 14775-9746 | MapPhone: (716) 581-2090Type: Microwww.7sinsbrewery.com",2018-08-20
"
						7 Sisters Brewing Co181 Tank Farm Rd Ste 110 San Luis Obispo, CA 93401-7082 | MapPhone: (805) 868-7133Type: Brewpubwww.7sistersbrewing.com",2018-08-20
"
						718BrewCafe, LLP718 Market St Metropolis, IL 62960-1634 | MapPhone: (618) 524-7180Type: Brewpubwww.718BrewCafe.com",2018-08-20
"
						734 Brewing Company15 E Cross St Ypsilanti, MI 48198 | MapPhone: (734) 649-6453Type: Micro",2018-08-20
"
						7th Settlement Brewery47 Washington St Dover, NH 03820-3877 | MapPhone: (603) 373-1001Type: Brewpubwww.7thsettlement.com",2018-08-20
"
						7th Wave Brewing120 N Meadows Rd Ste 8 Medfield, MA 02052-1594 | MapPhone: (617) 645-3397Type: Microwww.7thwavebrewing.com",2018-08-20
"
						7venth Sun Brewery1012 Broadway Dunedin, FL 34698-5762 | MapPhone: (727) 733-3013Type: Microwww.7venthsun.com",2018-08-20
"
						7venth Sun Tampa6809 N Nebraska Ave Tampa, FL 33604-5660 | MapPhone: (813) 231-5900Type: MicroGreater than 25% ownership by 7venth Sun Brewery, which is a craft brewer.",2018-08-20
"
						8 Bit Brewing Company26755 Jefferson Ave Ste F Murrieta, CA 92562-6941 | MapPhone: (951) 677-2322Type: Brewpubwww.8bitbrewerycompany.com",2018-08-20
"
						81Bay Brewing Company4465 W Gandy Blvd Ste 600 Tampa, FL 33611-3379 | MapPhone: (813) 372-2739Type: Micro81baybrewco.com",2018-08-20
"
						841 Brewhouse841 E Milwaukee St Whitewater, WI 53190-2126 | MapPhone: (262) 473-8000Type: Brewpub",2018-08-20
"
						8-Bit Aleworks1050 N Fairway Dr Bldg F Ste 10 Avondale, AZ 85323-5206 | MapPhone: (623) 925-1650Type: Microwww.8-bitaleworks.com",2018-08-20
"
						8one8 Brewing Company8951 de Soto Ave Canoga Park, CA 91304-5901 | MapPhone: (818) 835-2286Type: Microwww.818brewing.com",2018-08-20
"
						8th Street Ale Haus1132 N 8th St Sheboygan, WI 53081-3402 | MapPhone: (920) 208-7540Type: Brewpubwww.sheboyganalehaus.com",2018-08-20
"
						8th Ward Brewing Company Poughkeepsie, NY 12603-3401Type: Planning",2018-08-20
"
						8th Wonder Brewery2202 Dallas St Houston, TX 77003-3519 | MapPhone: (713) 397-0072Type: Microwww.8thwonderbrew.com",2018-08-20
"
						903 Brewers1718 S Elm St Sherman, TX 75090-8725 | MapPhone: (214) 243-8090Type: Microwww.903brewers.com",2018-08-20
"
						927 Beer Company821 Cornwall St Cambria, CA 93428-2434 | MapPhone: (805) 203-5265Type: Microwww.cambriabeerco.com",2018-08-20
"
						940 South 3rd Street, LLC ,  Phone: (502) 896-8459Type: Planningrobbrshrader@bellsouth.net",2018-08-20
"
						95ate5 Brewpub9585 N Industrial Dr Saint John, IN 46373 | MapPhone: (219) 365-6506Type: Brewpubwww.95ate5.com",2018-08-20
