"name","brewery_type","address","address2","phone","website","pull_date","city","state","state_full","HD01_S023","HD02_S023"
"16 Lots Brewing","Brewpub","753 Reading Rd","Mason, OH 45040-1303","(513) 486-3672","www.16lots.com","2018-09-12","Mason","OH","Ohio",8305392,72
"16 Mile Brewing Co","Micro","413 S Bedford St","Georgetown, DE 19947-1849","(302) 253-8816","www.16milebrewery.com","2018-09-12","Georgetown","DE","Delaware",650090,72.4
"16 Stone Brewpub","Brewpub","9542 Main St","Holland Patent, NY 13354","(315) 865-8500","www.16stonebrewpub.com","2018-09-12","Holland Patent","NY","New York",14187508,73.2
"1623 Brewing CO, llc","Contract","1146 colonel Joshua Ct","Westminister, MD 21157","NA","NA","2018-09-12","Westminister","MD","Maryland",4175913,72.3
"1718 Ocracoke Brewing","Brewpub","1129 Irvin Garrish Hwy","Ocracoke, NC 27960","(252) 928-2337","www.ocracokebrewing.com","2018-09-12","Ocracoke","NC","North Carolina",6835727,71.7
"1766 Brewing Company","Micro","7  Route 25","Plymouth, NH 03264-3141","(603) 236-6850","NA","2018-09-12","Plymouth","NH","New Hampshire",972077,73.8
"1781 Brewing Company","Micro","11109 Plank Rd","Spotsylvania, VA 22553-4258","(540) 841-2598","NA","2018-09-12","Spotsylvania","VA","Virginia",5799894,72.5
"180 and Tapped","Micro","2010 A State Ave","Coraopolis, PA 15108","(412) 737-5273","www.180andtapped.com","2018-09-12","Coraopolis","PA","Pennsylvania",9331047,73.5
"1817 Brewery","Micro","100 B South Olive St","okolona, MS 38860","(662) 305-5907","NA","2018-09-12","okolona","MS","Mississippi",2072004,69.8
"1840 Brewing Company","Micro","342 E Ward St","Milwaukee, WI 53207-1348","(414) 236-4056","www.1840brewing.com","2018-09-12","Milwaukee","WI","Wisconsin",4104027,72.2
"1850 Brewing Company","Micro","","Mariposa, CA 95338","NA","www.1850restaurant.com","2018-09-12","Mariposa","CA","California",26228272,70.4
"18th Street Brewery","Micro","5417 Oakley Ave","Hammond, IN 46320-1817","NA","NA","2018-09-12","Hammond","IN","Indiana",4578226,70.6
"18th Street Brewery","Micro","5725 Miller Ave","Gary, IN 46403-2871","NA","www.18thstreetbrewery.com","2018-09-12","Gary","IN","Indiana",4578226,70.6
"1905 Brewing Company","Micro","1301 S Chestnut St","Assumption, IL 62510-8504","(217) 254-9374","1905BrewingCompany.com","2018-09-12","Assumption","IL","Illinois",9154497,71.3
"1912 Brewing","Micro","2045 N Forbes Blvd Ste 105","Tucson, AZ 85745-1444","(520) 256-4851","www.1912brewing.com","2018-09-12","Tucson","AZ","Arizona",4478620,70.1
"192 Brewing","Micro","7324 NE 175th St","Kenmore, WA 98028-2500","(425) 424-2337","www.192brewing.com","2018-09-12","Kenmore","WA","Washington",4860559,72.3
"1940's Brewing Company","Micro","1337 Lincoln Ave Unit 1","Holbrook, NY 11741-2275","631-533-4838","www.1940sbrewingcompany.com","2018-09-12","Holbrook","NY","New York",14187508,73.2
"1st Republic Brewing Co","Micro","39 River Rd Ste 6","Essex Junction, VT 05452-3879","(802) 857-5318","www.1strepublic-homebrew.com","2018-09-12","Essex Junction","VT","Vermont",465053,74.3
"2 Basset Brewery","Micro","202 E Main St","White Sulphur Springs, MT 59645-9081","(406) 547-2337","www.2bassetbrewery.com","2018-09-12","White Sulphur Springs","MT","Montana",724590,73.2
"2 Dogz and A Guy Brewing","Micro","228 Church St","Montrose, PA 18801-1271","(570) 432-0069","2dogzandaguybrewing.com","2018-09-12","Montrose","PA","Pennsylvania",9331047,73.5
"2 Feet Brewing Company","Brewpub","80 Columbia St","Bangor, ME 04401-6319","207-573-1979  ","www.2feetbrewing.com","2018-09-12","Bangor","ME","Maine",999994,75.3
"2 Row Brewing","Micro","6856 S 300 W","Midvale, UT 84047-1083","(801) 987-8663","www.2rowbrewing.com","2018-09-12","Midvale","UT","Utah",1759144,63.6
"2 Silos Brewing Company","Micro","9925 Discovery Blvd","Manassas, VA 20109","(703) 420-2257","www.2silosbrewing.com","2018-09-12","Manassas","VA","Virginia",5799894,72.5
"2 Tones Brewing Co.","Micro","","Whitehall, OH 43213-1308","NA","www.2tonesbrewingco.com","2018-09-12","Whitehall","OH","Ohio",8305392,72
"2 Tread Brewing Co","Brewpub","1018 Santa Rosa Plz","Santa Rosa, CA 95401-6399","(707) 327-2822","www.2treadbrewing.com","2018-09-12","Santa Rosa","CA","California",26228272,70.4
"2 Way Brewing Company","Brewpub","18 W Main St","Beacon, NY 12508-2512","(845) 202-7334","www.2waybrewingcompany.com","2018-09-12","Beacon","NY","New York",14187508,73.2
"2 Witches Winery and Brewing Company","Micro","209 Trade St","Danville, VA 24541-3545","(434) 549-2739","www.2witcheswinebrew.com","2018-09-12","Danville","VA","Virginia",5799894,72.5
"20 Corners Brewing LLC","Brewpub","14148 NE 190th St Ste A","Woodinville, WA 98072-8437","(425) 375-5223","www.20cornersbrewing.com","2018-09-12","Woodinville","WA","Washington",4860559,72.3
"210 Brewing Co","Brewpub","3438 Stoluckquamish Ln","Arlington, WA 98223-9056","(360) 474-9740","www.angelofthewind.com","2018-09-12","Arlington","WA","Washington",4860559,72.3
"212 Brewing Company","Contract","21476 Route 23","Davenport, NY 13750","(212) 377-9050","NA","2018-09-12","Davenport","NY","New York",14187508,73.2
"217 Brew Works","Micro","217 South St S","Wilson, NC 27893-4911","(252) 991-6959","NA","2018-09-12","Wilson","NC","North Carolina",6835727,71.7
"21st Amendment Brewery","Regional","2010 Williams St Unit A","San Leandro, CA 94577-2334","(510) 595-2111","www.21st-Amendment.com","2018-09-12","San Leandro","CA","California",26228272,70.4
"21st Amendment Brewery Cafe","Brewpub","563 2nd St","San Francisco, CA 94107-1411","(415) 369-0900","www.21st-amendment.com","2018-09-12","San Francisco","CA","California",26228272,70.4
"22 Northmen Brewing Company","Planning","","Alexandria, MN 56308-9857","(320) 846-5443","www.22northmen.com","2018-09-12","Alexandria","MN","Minnesota",3799982,71.6
"23 Brewing Company / Lizzie B's Cafe","Brewpub","2010 KY Route 321","Prestonsburg, KY 41653-9103","(606) 886-2844","www.23brewingcompany.com","2018-09-12","Prestonsburg","KY","Kentucky",3131895,72.2
"238 Brewing Company","Micro","10321 E Day Mt Spokane Rd","Mead, WA 99021","(509) 238-2739","www.238brewing.com","2018-09-12","Mead","WA","Washington",4860559,72.3
"23rd Street Brewery","Brewpub","3512 Clinton Pkwy","Lawrence, KS 66047-2145","(785) 856-2337","www.brew23.com","2018-09-12","Lawrence","KS","Kansas",1999716,70.1
"25 O'Clock Brewing Company","Micro","208 W Griggs St","Urbana, IL 61801","NA","www.25oclock.net","2018-09-12","Urbana","IL","Illinois",9154497,71.3
"26 Degree Brewing Company","Micro","2600 E Atlantic Blvd","Pompano Beach, FL 33062-4940","(954) 532-6964","NA","2018-09-12","Pompano Beach","FL","Florida",14030290,74.6
"28th State Brewing","Planning","","Houston, TX 77095-6933","NA","NA","2018-09-12","Houston","TX","Texas",17154807,68.2
"2C Family Brewing Co.","Planning","","Nampa, ID 83651-3957","(208) 995-4802","NA","2018-09-12","Nampa","ID","Idaho",1070097,68.3
"2Kids Brewing Company","Micro","8680 Miralani Dr Ste 123","San Diego, CA 92126-6391","(858) 480-5437","www.2kidsBrewing.com","2018-09-12","San Diego","CA","California",26228272,70.4
"2nd Act Beer","Contract","18 N Salem St","Dover, NJ 07801","(862) 244-3932","www.2ndact.beer","2018-09-12","Dover","NJ","New Jersey",6391930,72.7
"2nd Bridge Brewing Company","Micro","642 Hilliard St","Manchester, CT 06042-2700","(860) 783-8580","www.2ndbridgebrewing.com","2018-09-12","Manchester","CT","Connecticut",2610182,73
"2nd Shift Brewing Co","Brewpub","1601 Sublette Ave","Saint Louis, MO 63110-1924","(618) 791-0728","www.2ndshiftbrewing.com","2018-09-12","Saint Louis","MO","Missouri",4300988,71.8
"2nd Story Brewing Company","Brewpub","117 Chestnut St Frnt","Philadelphia, PA 19106-4700","(267) 314-5770","http://www.2ndstorybrewing.com/","2018-09-12","Philadelphia","PA","Pennsylvania",9331047,73.5
"2SP Brewing Company","Micro","120 Concord Rd","Aston, PA 19014-2909","(484) 483-7860","www.2spbrewing.com","2018-09-12","Aston","PA","Pennsylvania",9331047,73.5
"2Toms Brewing Company","Brewpub","","Fort Wayne, IN","(260) 402-7644","www.2tomsbrewing.com","2018-09-12","Fort Wayne","IN","Indiana",4578226,70.6
"3 Beards Beer Company","Contract","4 Main St","Williamsburg, MA 01096","(617) 383-7039","www.3beardsbeer.com","2018-09-12","Williamsburg","MA","Massachusetts",4825238,73.7
"3 Daughters Brewing","Micro","222 22nd St S","Saint Petersburg, FL 33712-1240","(727) 495-6002","www.3dbrewing.com","2018-09-12","Saint Petersburg","FL","Florida",14030290,74.6
"3 Disciples Brewing","Micro","","Sebastopol, CA 95472-5937","(707) 228-7309","www.3disciplesbrewing.com/home","2018-09-12","Sebastopol","CA","California",26228272,70.4
"3 Freaks Brewing Co","Micro","7140 E County Line Rd","Highlands Ranch, CO 80126-3926","(720) 299-0994","www.3freaksbrewery.com","2018-09-12","Highlands Ranch","CO","Colorado",3595067,71.5
"3 Iron Brewing Company","Micro","898 Via Lata Ste A","Colton, CA 92324-3920","(909) 533-4892","www.3ironbrewingco.com","2018-09-12","Colton","CA","California",26228272,70.4
"3 Keys Brewing Company, LLC","Brewpub","2505 Manatee Ave E","Bradenton, FL 34208-2421","(941) 218-0396","www.3keysbrewing.com","2018-09-12","Bradenton","FL","Florida",14030290,74.6
"3 Nations Brewing","Micro","2405 Squire Pl Ste 200","Farmers Branch, TX 75234-4714","(469) 660-7184","www.threenationsbrewing.com","2018-09-12","Farmers Branch","TX","Texas",17154807,68.2
"3 Sheeps Brewing Co","Micro","1837 North Ave","Sheboygan, WI 53083-4620","(920) 946-9715","www.3sheepsbrewing.com","2018-09-12","Sheboygan","WI","Wisconsin",4104027,72.2
"3 Sheets Brewery","Micro","136 W 1st Ave","Albany, OR 97321","(541) 619-0183","www.3sheetsbrewery.com","2018-09-12","Albany","OR","Oregon",2806429,73.3
"3 Sons Brewing Co.","Proprietor","236 N Federal Hwy","Dania, FL 33004-2870","(954) 601-3833","www.3sonsbrewingco.com","2018-09-12","Dania","FL","Florida",14030290,74.6
"3 Stars Brewing Co","Micro","6400 Chillum Pl NW Ste B","Washington, DC 20012-2111","(202) 670-0333","www.3starsbrewing.com","2018-09-12","Washington","DC","District of Columbia",465487,77.4
"30 Mile Brewing Co.","Micro","39 Ragged Rock Rd Unit 5","Old Saybrook, CT 06475-1518","(860) 339-5238","www.30milebrewingco.com","2018-09-12","Old Saybrook","CT","Connecticut",2610182,73
"300 Suns Brewing Company","Brewpub","335 1st Ave Unit C","Longmont, CO 80501-5958","NA","www.300sunsbrewing.com","2018-09-12","Longmont","CO","Colorado",3595067,71.5
"32 North Brewing Co","Micro","8655 Production Ave Ste A","San Diego, CA 92121-2258","(619) 363-2622","NA","2018-09-12","San Diego","CA","California",26228272,70.4
"34 Degree North Experiment Station","Micro","4802 Main St","Shallotte, NC 28470","NA","NA","2018-09-12","Shallotte","NC","North Carolina",6835727,71.7
"350 Brewing Co","Brewpub","7144 183rd St","Tinley Park, IL 60477-3933","(708) 825-7339","www.350brewing.com","2018-09-12","Tinley Park","IL","Illinois",9154497,71.3
"38 State Brewing","Micro","8071 S Broadway Ste A","Littleton, CO 80122-2730","(720) 638-3678","www.38statebrew.com","2018-09-12","Littleton","CO","Colorado",3595067,71.5
"38°-75° Brewing","Brewpub","2000 Coastal Highway STE 105","Rehoboth Beach, DE 19971","(302) 227-8519","NA","2018-09-12","Rehoboth Beach","DE","Delaware",650090,72.4
"380 Brewing Company","Planning","","Clancy, MT 59634","(206) 579-6509","NA","2018-09-12","Clancy","MT","Montana",724590,73.2
"3cross Fermentation Cooperative","Micro","4 Knowlton Ave","Worcester, MA 01603","(508) 615-8195","www.3cross.coop","2018-09-12","Worcester","MA","Massachusetts",4825238,73.7
"3rd Act Brewery LLC","Planning","",NA,"(651) 714-1524","NA","2018-09-12",NA,NA,NA,NA,NA
"3rd Degree Brewhouse","Micro","1625 N Main St","Fuquay Varina, NC 27526","(919) 201-5457","www.facebook.com/3rddegreebrewhouse/","2018-09-12","Fuquay Varina","NC","North Carolina",6835727,71.7
"3rd Planet Brewing","Micro","120 Partin Dr N","Niceville, FL 32578-2053","(850) 502-9952","www.facebook.com/3rdplanetbrewing/","2018-09-12","Niceville","FL","Florida",14030290,74.6
"3rd Rock Brewing Company","Micro","134 Industrial Park Dr","Trenton, NC 28585-9593","(252) 631-9213","www.3rockbrew.com","2018-09-12","Trenton","NC","North Carolina",6835727,71.7
"3rd Turn Brewing","Micro","10408 Watterson Trl","Louisville, KY 40299-3702","NA","www.3rdturnbrewing.com","2018-09-12","Louisville","KY","Kentucky",3131895,72.2
"3rd Wave Brewing Co","Micro","501 N Bi State Blvd","Delmar, DE 19940-1106","(302) 907-0423","www.3rdwavebrewingco.com","2018-09-12","Delmar","DE","Delaware",650090,72.4
"4 By 4 Brewing Company","Micro","2811 E Galloway St Ste A","Springfield, MO 65804-4601","NA","www.4by4brewingcompany.com","2018-09-12","Springfield","MO","Missouri",4300988,71.8
"4 Hands Brewing Co","Regional","1220 S 8th St","Saint Louis, MO 63104-3610","(314) 436-1559","NA","2018-09-12","Saint Louis","MO","Missouri",4300988,71.8
"4 Noses Brewing Company","Micro","8855 W 116th Cir Ste 3","Broomfield, CO 80021-2521","(720) 460-2797","4nosesbrewing.com","2018-09-12","Broomfield","CO","Colorado",3595067,71.5
"400 North Brewing","Planning","","Sugarhill, GA 30518-7916","(404) 791-1119","400northbrewing.com","2018-09-12","Sugarhill","GA","Georgia",6762553,69.8
"406 Brewing Company","Micro","111 E Oak St. 1A","Bozeman, MT 59715-2967","(406) 585-3745","www.406brewingcompany.com","2018-09-12","Bozeman","MT","Montana",724590,73.2
"411 Broadway Ales","Planning","","Fresno, CA 93721-2801","(541) 270-6076","NA","2018-09-12","Fresno","CA","California",26228272,70.4
"412 Brews","Brewpub","706 Island Ave","Mc Kees Rocks, PA 15136-3287","NA","www.412brews.com","2018-09-12","Mc Kees Rocks","PA","Pennsylvania",9331047,73.5
"42 North Brewing Company","Brewpub","25 Pine St","East Aurora, NY 14052-1827","(716) 805-7500","www.42northbrewing.com","2018-09-12","East Aurora","NY","New York",14187508,73.2
"4204 Main Street Brewing Co","Brewpub","6435 W MAIN ST","Belleville, IL 62223-3801","(618) 416-7261","NA","2018-09-12","Belleville","IL","Illinois",9154497,71.3
"44 North Brewing","Planning","",NA,"(562) 716-5840","www.44northbrewing.com","2018-09-12",NA,NA,NA,NA,NA
"450 North Brewing Company @ Simmons Winery","Brewpub","8111 E 450 N","Columbus, IN 47203-8106","(812) 546-0091","www.450northbrewing.com","2018-09-12","Columbus","IN","Indiana",4578226,70.6
"47 Hills Brewing Co","Brewpub","137 S Linden Ave","South San Francisco, CA 94080-6410","(650) 867-8476","47hillsbrewingcompany.com","2018-09-12","South San Francisco","CA","California",26228272,70.4
"49th State Brewing Co","Brewpub","248 Parks Hwy 5 Mile","Healy, AK 99743","NA","NA","2018-09-12","Healy","AK","Alaska",491763,69.2
"49th State Brewing Co - Anchorage","Brewpub","717 W 3rd Ave","Anchorage, AK 99501-2104","(907) 683-2739","www.49statebrewing.com/","2018-09-12","Anchorage","AK","Alaska",491763,69.2
"4B's Brewery","Brewpub","215 W Main St","Cedaredge, CO 81413-3339","(970) 856-7762","www.4bsbrewery.com","2018-09-12","Cedaredge","CO","Colorado",3595067,71.5
"4kd Crick Brewery","Brewpub","211 Carpenter Rd","Defiance, OH 43512-1718","(419) 956-2863","Www.4kdcrickbrewery.com","2018-09-12","Defiance","OH","Ohio",8305392,72
"4th Tap Brewing Cooperative","Micro","10615 Metric Blvd","Austin, TX 78758-4520","(512) 908-9817","NA","2018-09-12","Austin","TX","Texas",17154807,68.2
"5 Alarm Brewing Co","Micro","211 W Main St","Lake Mills, IA 50450","(641) 592-2739","NA","2018-09-12","Lake Mills","IA","Iowa",2178618,71.5
"5 Arch Brewing","Planning","",NA,"(765) 518-8924","NA","2018-09-12",NA,NA,NA,NA,NA
"5 Lakes Brewing Co.","Brewpub","1638 142nd Ave","Dorr, MI 49323-9312","(616) 359-9555","www.5lakesbrewing.com","2018-09-12","Dorr","MI","Michigan",7085405,71.7
"5 Rabbit Cerveceria Inc","Planning","","Chicago, IL","NA","NA","2018-09-12","Chicago","IL","Illinois",9154497,71.3
"5 Rabbit Cerveceria Inc","Micro","6398 W 74th St","Chicago, IL 60638-6129","(312) 895-9591","www.5rabbitbrewery.com","2018-09-12","Chicago","IL","Illinois",9154497,71.3
"5 Rights Brewing Co","Micro","7028 46th St NE","Marysville, WA 98270-6989","(425) 334-1026","www.5rightsbrewing.com","2018-09-12","Marysville","WA","Washington",4860559,72.3
"5 Rivers Brewing LLC","Planning","","Spanish Fort, AL 36527-3161","(251) 689-7483","5riversbrewing.com","2018-09-12","Spanish Fort","AL","Alabama",3431106,71.8
"5 Seasons Brewing Co - Prado","Brewpub","5600 Roswell Rd","Sandy Springs, GA 30342-1150","(404) 255-5911","www.5seasonsbrewing.com","2018-09-12","Sandy Springs","GA","Georgia",6762553,69.8
"5 Seasons Brewing Co - Westside","Brewpub","1000 Marietta St NW Ste 204","Atlanta, GA 30318-0683","(404) 875-3232","www.5seasonsbrewing.com","2018-09-12","Atlanta","GA","Georgia",6762553,69.8
"5 Stones Artisan Brewery","Micro","11335 Farm To Market Road 1863","New Braunfels, TX 78132","(210) 380-8215","NA","2018-09-12","New Braunfels","TX","Texas",17154807,68.2
"509 Bierwerks","Planning","","Wenatchee, WA 98801","(509) 548-3300","NA","2018-09-12","Wenatchee","WA","Washington",4860559,72.3
"515 Brewing Co","Micro","7700 University Ave","Clive, IA 50325-1271","(515) 661-4615","www.515brewing.com","2018-09-12","Clive","IA","Iowa",2178618,71.5
"5150 Brewing At The Brass Tap Rocklin","Micro","5150 Commons Dr Ste 101","Rocklin, CA 95677-3925","(916) 246-2729","www.brasstaprocklin.com","2018-09-12","Rocklin","CA","California",26228272,70.4
"5168 Brewing Company","Brewpub","5730 Hidcote Dr.","Lincoln, NE 68516","(402) 875-5588","http://www.5168brewing.com/","2018-09-12","Lincoln","NE","Nebraska",1286989,70.5
"51st State Brewing Company","Brewpub","115 Harding Ave","Kingsford, MI 49802-3815","(906) 828-2167","www.51ststatebrewingcompany.com","2018-09-12","Kingsford","MI","Michigan",7085405,71.7
"51st Ward Beer Company","Contract","323 N Washington St","Westmont, IL 60559-1512","(773) 220-5899","NA","2018-09-12","Westmont","IL","Illinois",9154497,71.3
"54-40 Brewing Company","Brewpub","3801 S Truman Rd Ste 1","Washougal, WA 98671-2589","(360) 907-7062","www.54-40brewing.com","2018-09-12","Washougal","WA","Washington",4860559,72.3
"550 Brewing","Proprietor","119 E Chuska St","Aztec, NM 87410-2110","(505) 486-1094","Www.550brew.com","2018-09-12","Aztec","NM","New Mexico",1449403,70.4
"559 Local Brewing","Micro","608 4th St","Clovis, CA 93612-1183","(559) 473-1875","www.fresnobrewingcompany.com","2018-09-12","Clovis","CA","California",26228272,70.4
"56 Brewing","Micro","3055 Columbia Ave NE Ste 102","Minneapolis, MN 55418-1860","(612) 404-0056","www.56brewing.com","2018-09-12","Minneapolis","MN","Minnesota",3799982,71.6
"5770 Brewery","Micro","303A W Main St","Teutopolis, IL 62467-1355","(618) 339-7841","www.5770brewery.com","2018-09-12","Teutopolis","IL","Illinois",9154497,71.3
"5th Element Brewing","Planning","","Leander, TX 78641-4009","(915) 637-8199","NA","2018-09-12","Leander","TX","Texas",17154807,68.2
"5x5 Brewing Co.","Micro","801 N Bryan Rd Ste 174","Mission, TX 78572-6215","(956) 445-5421","www.5x5brewing.com","2018-09-12","Mission","TX","Texas",17154807,68.2
"6 & 40 Brewery/Taproom","Planning","","Lakewood, CO 80215-5548","(303) 232-5347","www.tomsbrewshop.com","2018-09-12","Lakewood","CO","Colorado",3595067,71.5
"6 Bears & A Goat Brewing Company, LLC","Brewpub","1140 International Pkwy","Fredericksburg, VA 22406-1126","540-356-9056 Ext. 2","www.6bgbrewingco.com","2018-09-12","Fredericksburg","VA","Virginia",5799894,72.5
"6 Bridges Brewing","Planning","","Johns Creek, GA 30097","(770) 846-0292","www.sixbridgesbrewing.com","2018-09-12","Johns Creek","GA","Georgia",6762553,69.8
"6 Degrees of Separation","Brewpub","35 Main St","Ossining, NY 10562-4662","914-432-5969","www.6degreesbp.com","2018-09-12","Ossining","NY","New York",14187508,73.2
"603 Brewery","Micro","12 Liberty Dr Unit 7","Londonderry, NH 03053-2286","(603) 630-7745","www.603brewery.com","2018-09-12","Londonderry","NH","New Hampshire",972077,73.8
"608 Brewing Company","Micro","83 Copeland Ave","La Crosse, WI 54603","NA","www.608brewingcompany.com","2018-09-12","La Crosse","WI","Wisconsin",4104027,72.2
"612 Brew","Micro","945 Broadway St NE","Minneapolis, MN 55413-1471","(612) 964-8939","www.612brew.com","2018-09-12","Minneapolis","MN","Minnesota",3799982,71.6
"6A Brewing Company","Micro","","Sandwich, MA","(774) 205-2139","www.6abrewing.com","2018-09-12","Sandwich","MA","Massachusetts",4825238,73.7
"6th and La Brea","Brewpub","600 South La Brea Ave","Los Angeles, CA 90036","NA","www.6thlabrea.com","2018-09-12","Los Angeles","CA","California",26228272,70.4
